datetime,open,high,low,close,volume
2024-12-20,97461.86,98233.0,92232.54,97805.44,62884.1357
2024-12-21,97805.44,99540.61,96398.39,97291.99,23483.54143
2024-12-22,97292.0,97448.08,94250.35,95186.27,19353.83036
2024-12-23,95186.28,96538.92,92520.0,94881.47,32810.76703
2024-12-24,94881.47,99487.99,93569.02,98663.58,23674.22488
2024-12-25,98663.58,99569.15,97632.02,99429.6,14474.1651
2024-12-26,99429.61,99963.7,95199.14,95791.6,21192.36727
2024-12-27,95791.6,97544.58,93500.01,94299.03,26501.26429
2024-12-28,94299.03,95733.99,94135.66,95300.0,8385.8929
2024-12-29,95300.0,95340.0,93009.52,93738.2,13576.00578
2024-12-30,93738.19,95024.5,91530.45,92792.05,27619.4225
2024-12-31,92792.05,96250.0,92033.73,93576.0,19612.03389
2025-01-01,93576.0,95151.15,92888.0,94591.79,10373.32613
2025-01-02,94591.78,97839.5,94392.0,96984.79,21970.48948
2025-01-03,96984.79,98976.91,96100.01,98174.18,15253.82936
2025-01-04,98174.17,98778.43,97514.79,98220.5,8990.05651
2025-01-05,98220.51,98836.85,97276.79,98363.61,8095.63723
2025-01-06,98363.61,102480.0,97920.0,102235.6,25263.43375
2025-01-07,102235.6,102724.38,96181.81,96954.61,32059.87537
2025-01-08,96954.6,97268.65,92500.9,95060.61,33704.67894
2025-01-09,95060.61,95382.32,91203.67,92552.49,34544.83685
2025-01-10,92552.49,95836.0,92206.02,94726.11,31482.86424
2025-01-11,94726.1,95050.94,93831.73,94599.99,7047.9043
2025-01-12,94599.99,95450.1,93711.19,94545.06,8606.86622
2025-01-13,94545.07,95940.0,89256.69,94536.1,42619.56423
2025-01-14,94536.11,97371.0,94346.22,96560.86,27846.61753
2025-01-15,96560.85,100681.94,96500.0,100497.35,30509.99179
2025-01-16,100497.35,100866.66,97335.13,99987.3,27832.85317
2025-01-17,99987.3,105865.22,99950.77,104077.48,39171.85292
2025-01-18,104077.47,104988.88,102277.55,104556.23,24307.82998
2025-01-19,104556.23,106422.43,99651.6,101331.57,43397.28298
2025-01-20,101331.57,109588.0,99550.0,102260.01,89529.231732
2025-01-21,102260.0,107240.81,100119.04,106143.82,45941.02002
2025-01-22,106143.82,106394.46,103339.12,103706.66,22248.69254
2025-01-23,103706.66,106850.0,101262.28,103910.34,53953.12031
2025-01-24,103910.35,107120.0,102750.0,104870.5,23609.24017
2025-01-25,104870.51,105286.52,104106.09,104746.85,9068.32377
2025-01-26,104746.86,105500.0,102520.44,102620.0,9812.51238
2025-01-27,102620.01,103260.0,97777.77,102082.83,50758.1341
2025-01-28,102082.83,103800.0,100272.68,101335.52,22022.05765
2025-01-29,101335.52,104782.68,101328.01,103733.24,23155.35802
2025-01-30,103733.25,106457.44,103278.54,104722.94,19374.07472
2025-01-31,104722.94,106012.0,101560.0,102429.56,21983.18193
2025-02-01,102429.56,102783.71,100279.51,100635.65,12290.95747
2025-02-02,100635.66,101456.6,96150.0,97700.59,34619.49939
2025-02-03,97700.59,102500.01,91231.0,101328.52,75164.7385
2025-02-04,101328.51,101732.31,96150.0,97763.13,40267.98697
2025-02-05,97763.14,99149.0,96155.0,96612.43,26233.30444
2025-02-06,96612.44,99120.0,96430.78,96600.11,15024.62965
2025-02-07,96554.35,97883.12,96409.65,96668.76,5657.99871
2025-02-08,96506.8,96880.0,95688.0,96444.74,10147.24294
2025-02-09,96444.75,97323.09,94713.0,96462.75,14120.91613
2025-02-10,96462.75,98345.0,95256.0,97430.82,20572.87537
2025-02-11,97430.82,98478.42,94876.88,95778.2,18647.76379
2025-02-12,95778.21,98119.99,94088.23,97869.99,29151.16625
2025-02-13,97870.0,98083.91,95217.36,96608.14,19921.77616
2025-02-14,96608.13,98826.0,96252.82,97500.48,18173.02646
2025-02-15,97500.47,97972.26,97223.58,97569.66,7349.37683
2025-02-16,97569.67,97704.47,96046.18,96118.12,8191.4249
2025-02-17,96118.12,97046.59,95205.0,95780.0,16492.0451
2025-02-18,95780.01,96753.91,93388.09,95671.74,23368.19471
2025-02-19,95671.74,95849.06,95055.0,95074.9,1122.44841
2025-02-20,96644.37,97549.88,96415.09,97395.16,7266.57844
2025-02-21,98305.01,99475.0,94871.95,96181.98,32249.2814
2025-02-22,96181.99,96980.0,95770.49,96551.01,11268.17708
2025-02-23,96551.01,96650.0,96083.33,96190.38,3659.50152
2025-02-24,96258.0,96500.0,91349.26,91552.88,31550.10299
2025-02-25,91552.88,92540.69,86050.99,88680.4,78333.11111
2025-02-26,88680.39,89414.15,82256.01,84250.09,56893.54409
2025-02-27,84250.09,87078.46,82716.49,84708.58,42505.45439
2025-02-28,84708.57,85120.0,78258.52,84349.94,83648.03969
2025-03-01,84349.95,86558.0,83824.78,84503.01,19077.70513
2025-03-02,86064.54,95000.0,85050.6,94270.0,54889.09045
2025-03-03,94269.99,94416.46,85117.11,86220.61,59171.10218
2025-03-04,86221.16,86807.98,81500.0,84376.89,40360.41892
2025-03-05,87281.98,87888.88,86334.53,87076.06,6546.27463
2025-03-06,90606.0,90815.31,90490.94,90545.27,278.92323
2025-03-07,89931.88,91283.02,84667.03,87066.01,18645.77686
2025-03-08,86801.74,86897.25,85218.47,86124.71,2810.81641
2025-03-09,86222.46,86500.0,85939.85,86048.01,1685.40387
2025-03-10,80734.48,81888.0,80037.62,81884.0,3671.32621
2025-03-11,78595.86,79938.27,76606.0,79467.58,10793.50507
2025-03-12,82932.99,83783.26,82121.6,82299.99,4583.00149
2025-03-13,83680.12,84222.0,83312.92,84037.45,2180.62185
